ZONE,avg_ratio,pct_hours_saturated,n_observations
San Nicolás,0.8259066086921575,6.25,720
Santiago,0.6956767460934128,6.25,720
MTY_Guadalupe,0.8344918611630904,6.111111111111111,720
Carretera Nacional,0.7064000216604384,5.972222222222222,720
Mitras Centro,0.8365146573309878,5.555555555555555,720
Santa Catarina,0.9210621049970152,5.277777777777778,720
Independencia,0.8686509948630342,5.277777777777778,720
Apodaca Centro,0.869798062571043,5.138888888888888,720
Escobedo,0.857835548381214,5.0,720
Centro,0.8468776521358289,4.861111111111112,720
Cumbres Poniente,0.8421935929029698,4.166666666666666,720
San Pedro,0.8285495285025019,4.027777777777778,720
MTY_Apodaca_Huinalá,0.6612332921707922,3.75,720
La Fe,0.8557429780628631,3.6111111111111107,720
