HOUR,no_rain,light,moderate,heavy
0,0.0,-0.017986159981233873,,
1,0.0,0.0028735632183907733,,
2,0.0,0.03981937602627256,,
3,0.0,,,
4,0.0,,,
5,0.0,,,
6,0.0,-0.005527210884353706,,
7,0.0,,,
8,0.0,0.0077119871296617015,,
9,0.0,,,
10,0.0,-0.09643015026594282,,
11,0.0,,-0.13624815419083658,
12,0.0,0.9709842030720781,0.1549219106499733,
13,0.0,,0.624958826316941,0.7255987136610207
14,0.0,,0.9038554463250397,1.3384496084695732
15,0.0,0.0025533784344499155,0.6043049007216864,
16,0.0,0.5765335754951479,,0.6992108282144178
17,0.0,-0.012600384181850832,0.6263761155089347,0.6396911734668498
18,0.0,-0.15358908053604348,,0.5993321229103701
19,0.0,0.3219207555315218,-0.0987337848553278,0.7801789899634384
20,0.0,,,0.4683141601145191
21,0.0,0.371996286347015,,0.39809093593096656
22,0.0,-0.01922422407304958,0.5968479973563146,-0.28327134630565565
23,0.0,,,
